rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,targetDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190923,95046390,6.5,-278935910,-74.6,9595283006,12712,-31146,-71,1132202,558,1668
6,6,0,NEW,20184483,퍼펙트맨,2019-10-02,20190923,23418000,1.6,23418000,100,216470000,2640,2640,100,33341,13,13
7,7,0,NEW,20195968,더 룸,2019-09-25,20190923,18560000,1.3,18560000,100,37861600,2320,2320,100,4848,11,11
8,8,-1,OLD,20181103,벌새,2019-08-29,20190923,15188600,1.0,-17347240,-53.3,787042522,1963,-1898,-49.2,95329,85,164
9,9,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190923,10170680,0.7,-22183790,-68.6,5064676167,1213,-2417,-66.6,585680,96,145
10,10,-4,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190923,8245900,0.6,-165663430,-95.3,4343198420,1097,-20748,-95,559668,171,198
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190922,2175129120,42.5,-323804320,-13,34253187024,245297,-39086,-13.7,3906773,1196,5844
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190922,960944290,18.8,-286576250,-23,3209505700,105566,-29898,-22.1,352932,835,3526
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190922,689953200,13.5,-21635650,-3,18737631834,75948,-4799,-5.9,2111604,801,2790
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190922,467709230,9.1,-75135630,-13.8,1959525140,53538,-8701,-14,226984,647,2494
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190922,373982300,7.3,-16096830,-4.1,9500236616,43858,-2776,-6,1119490,597,1741
6,6,0,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190922,173909330,3.4,13409740,8.4,4334952520,21845,1493,7.3,558571,431,644
7,7,1,OLD,20181103,벌새,2019-08-29,20190922,32535840,0.6,-1508390,-4.4,771853922,3861,-276,-6.7,93366,91,154
8,8,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190922,32354470,0.6,-18610600,-36.5,5054505487,3630,-2146,-37.2,584467,104,161
9,9,0,OLD,20184621,엑시트,2019-07-31,20190922,28623880,0.6,-5249320,-15.5,79107385402,3421,-657,-16.1,9407848,140,184
10,10,0,OLD,20194943,발명왕 볼트,2019-09-19,20190922,25125340,0.5,-828260,-3.2,57983640,3122,-75,-2.3,7386,239,293
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190921,2498933440,42.3,1347911820,117.1,32078057904,284383,153085,116.6,3661476,1225,6002
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190921,1247520540,21.1,675253230,118,2248561410,135464,73273,117.8,247366,853,3633
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190921,711588850,12.1,351606360,97.7,18047678634,80747,38879,92.9,2035656,818,2899
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190921,542844860,9.2,272203400,100.6,1491815910,62239,31319,101.3,173446,667,2679
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190921,390079130,6.6,221617530,131.6,9126254316,46634,25942,125.4,1075632,593,1779
6,6,3,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190921,160499590,2.7,145738770,987.3,4161043190,20352,18435,961.7,536726,408,602
7,7,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190921,50965070,0.9,25875350,103.1,5022151017,5776,2935,103.3,580837,109,177
8,8,-1,OLD,20181103,벌새,2019-08-29,20190921,34044230,0.6,10947650,47.4,739318082,4137,1466,54.9,89505,85,149
9,9,2,OLD,20184621,엑시트,2019-07-31,20190921,33873200,0.6,21036480,163.9,79078761522,4078,2514,160.7,9404427,152,204
10,10,13,OLD,20194943,발명왕 볼트,2019-09-19,20190921,25953600,0.4,21750700,517.5,32858300,3197,2565,405.9,4264,232,297
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190920,1151021620,41.7,320097650,38.5,29579124464,131298,29102,28.5,3377093,1083,5218
2,2,0,OLD,20192982,애드 아스트라,2019-09-19,20190920,572267310,20.8,167741950,41.5,1001040870,62191,14979,31.7,111902,823,3442
3,3,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190920,359982490,13.1,63585060,21.5,17336089784,41868,4090,10.8,1954909,821,2872
4,4,0,OLD,20193807,예스터데이,2019-09-18,20190920,270641460,9.8,68391610,33.8,948971050,30920,6265,25.4,111207,729,2949
5,5,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190920,168461600,6.1,35832140,27,8736175186,20692,3018,17.1,1028998,619,1824
6,6,5,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190920,25089720,0.9,12149200,93.9,4971185947,2841,1302,84.6,575061,104,151
7,7,3,OLD,20181103,벌새,2019-08-29,20190920,23096580,0.8,10713780,86.5,705273852,2671,1093,69.3,85368,77,136
8,8,-2,OLD,20184483,퍼펙트맨,2019-10-02,20190920,16701000,0.6,-19623000,-54,185373000,2467,-3817,-60.7,29604,19,19
9,9,0,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190920,14760820,0.5,3248920,28.2,4000543600,1917,288,17.7,516374,183,218
10,10,6,OLD,20193601,장사리 : 잊혀진 영웅들,2019-09-25,20190920,16272000,0.6,5238000,47.5,38583000,1808,582,47.5,4287,9,9
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190919,830923970,39.2,-209591040,-20.1,28428102844,102196,-25956,-20.3,3245795,1052,4948
2,2,9,OLD,20192982,애드 아스트라,2019-09-19,20190919,404525360,19.1,386496160,2143.7,428773560,47212,45404,2511.3,49711,783,3250
3,3,-1,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190919,296397430,14.0,-84908230,-22.3,16976107294,37778,-10439,-21.7,1913041,846,2856
4,4,-1,OLD,20193807,예스터데이,2019-09-18,20190919,202249850,9.5,-120105840,-37.3,678329590,24655,-14738,-37.4,80287,766,3046
5,5,-1,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190919,132629460,6.3,-45517510,-25.6,8567713586,17674,-5655,-24.2,1008306,580,1769
6,6,-1,OLD,20184483,퍼펙트맨,2019-10-02,20190919,36324000,1.7,0,0,168672000,6284,607,10.7,27137,36,36
7,7,0,NEW,20195202,뷰티풀 보이,2019-09-19,20190919,19464820,0.9,19464820,100,38386320,2574,2574,100,4917,130,198
8,8,0,NEW,20189077,비뚤어진 집,2019-09-19,20190919,13185260,0.6,13185260,100,21107760,1809,1809,100,2606,129,238
9,9,0,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190919,11511900,0.5,-4590500,-28.5,3985782780,1629,-534,-24.7,514457,166,196
10,10,-4,OLD,20181103,벌새,2019-08-29,20190919,12382800,0.6,-7799760,-38.6,682177272,1578,-1112,-41.3,82697,76,128
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190918,1040515010,48.2,-69087550,-6.2,27597178874,128152,-8535,-6.2,3143599,1172,5858
2,2,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190918,381305660,17.6,-90484110,-19.2,16679709864,48217,-9418,-16.3,1875263,968,3717
3,3,31,OLD,20193807,예스터데이,2019-09-18,20190918,322355690,14.9,320528690,17544,476079740,39393,39190,19305.4,55632,816,3789
4,4,-1,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190918,178146970,8.2,-128882110,-42,8435084126,23329,-21790,-48.3,990632,689,2552
5,5,-1,OLD,20184483,퍼펙트맨,2019-10-02,20190918,36324000,1.7,-15498000,-29.9,132348000,5677,-3733,-39.7,20853,34,34
6,6,3,OLD,20181103,벌새,2019-08-29,20190918,20182560,0.9,1492320,8,669794472,2690,224,9.1,81119,81,172
7,7,-2,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190918,21467980,1.0,-17714500,-45.2,4933155707,2569,-2069,-44.6,570681,127,220
8,8,-2,OLD,20181416,유열의 음악앨범,2019-08-28,20190918,17632120,0.8,-11429340,-39.3,10149534650,2202,-1370,-38.4,1235490,166,295
9,9,-2,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190918,16102400,0.7,-7241180,-31,3974270880,2163,-1103,-33.8,512828,232,294
10,10,-2,OLD,20184621,엑시트,2019-07-31,20190918,16817410,0.8,-8245680,-32.9,79021343072,2136,-1052,-33,9397389,222,383
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190917,1109602560,50.7,-488360060,-30.6,26556663864,136687,-61141,-30.9,3015447,1285,6203
2,2,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190917,471789770,21.5,-222414650,-32,16298404204,57635,-27741,-32.5,1827046,1221,4779
3,3,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190917,307029080,14.0,21794530,7.6,8256937156,45119,8781,24.2,967303,943,3410
4,4,1,OLD,20184483,퍼펙트맨,2019-10-02,20190917,51822000,2.4,9892000,23.6,96024000,9410,3928,71.7,15176,69,69
5,5,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190917,39182480,1.8,-13964940,-26.3,4911687727,4638,-1822,-28.2,568112,283,444
6,6,3,OLD,20181416,유열의 음악앨범,2019-08-28,20190917,29061460,1.3,-4337550,-13,10131902530,3572,-590,-14.2,1233288,292,511
7,7,1,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190917,23343580,1.1,-7837300,-25.1,3958168480,3266,-909,-21.8,510665,343,433
8,8,-2,OLD,20184621,엑시트,2019-07-31,20190917,25063090,1.1,-14550920,-36.7,79004525662,3188,-1791,-36,9395253,333,560
9,9,1,OLD,20181103,벌새,2019-08-29,20190917,18690240,0.9,-3438440,-15.5,649611912,2466,-293,-10.6,78429,78,159
10,10,4,OLD,20198323,레드슈즈,2019-07-25,20190917,10856500,0.5,4789000,78.9,6051170190,1416,558,65,811538,11,13
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190916,1597962620,54.5,-3491534550,-68.6,25447061304,197828,-373744,-65.4,2878760,1251,6234
2,2,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190916,694204420,23.7,-1553091870,-69.1,15826614434,85376,-160137,-65.2,1769411,1210,4911
3,3,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190916,285234550,9.7,-1011452700,-78,7949908076,36338,-115116,-76,922184,878,3504
4,4,3,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190916,53147420,1.8,-76069890,-58.9,4872505247,6460,-8345,-56.4,563474,293,465
5,5,0,NEW,20184483,퍼펙트맨,2019-10-02,20190916,41930000,1.4,41930000,100,44202000,5482,5482,100,5766,29,29
6,6,-1,OLD,20184621,엑시트,2019-07-31,20190916,39614010,1.4,-141414050,-78.1,78979462572,4979,-15689,-75.9,9392065,352,622
7,7,5,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,20190916,31043030,1.1,9446640,43.7,32213119343,4220,1747,70.6,3654080,105,155
8,8,-4,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190916,31180880,1.1,-345589210,-91.7,3934824900,4175,-42990,-91.1,507399,369,485
9,9,-1,OLD,20181416,유열의 음악앨범,2019-08-28,20190916,33399010,1.1,-36740330,-52.4,10102841070,4162,-3782,-47.6,1229716,300,524
10,10,0,OLD,20181103,벌새,2019-08-29,20190916,22128680,0.8,-18268900,-45.2,630921672,2759,-2292,-45.4,75963,71,154
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190915,5089497170,52.0,-1655465392,-24.5,23849098684,571572,-185411,-24.5,2680932,1511,7247
2,2,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190915,2247296290,23.0,-1129959362,-33.5,15132410014,245513,-123473,-33.5,1684035,1324,5338
3,3,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190915,1296687250,13.3,-788184568,-37.8,7664673526,151454,-89381,-37.1,885846,946,3763
4,4,0,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190915,376770090,3.9,197140,0.1,3903644020,47165,93,0.2,503224,586,1076
5,5,0,OLD,20184621,엑시트,2019-07-31,20190915,181028060,1.9,-151254990,-45.5,78939848562,20668,-16751,-44.8,9387086,388,675
6,6,1,OLD,20194045,극장판 반지의 비밀일기,2019-09-11,20190915,125482100,1.3,7504300,6.4,458358530,15533,1006,6.9,56299,413,521
7,7,-1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190915,129217310,1.3,-49281730,-27.6,4819357827,14805,-5529,-27.2,557014,257,367
8,8,0,OLD,20181416,유열의 음악앨범,2019-08-28,20190915,70139340,0.7,-32456210,-31.6,10069442060,7944,-3604,-31.2,1225554,227,332
9,9,0,OLD,20193807,예스터데이,2019-09-18,20190915,52857180,0.5,-17082090,-24.4,147415450,5593,-1818,-24.5,15626,53,87
10,10,0,OLD,20181103,벌새,2019-08-29,20190915,40397580,0.4,-4237550,-9.5,608792992,5051,-335,-6.2,73204,68,131
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190914,6744962562,49.4,910247080,15.6,18759601514,756983,116730,18.2,2109360,1483,7268
2,2,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190914,3377255652,24.7,-29847090,-0.9,12885113724,368986,2232,0.6,1438522,1389,5710
3,3,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190914,2084871818,15.3,-153192870,-6.8,6367986276,240835,-10929,-4.3,734392,990,4021
4,4,1,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190914,376572950,2.8,168680950,81.1,3526873930,47072,21780,86.1,456059,595,1140
5,5,-1,OLD,20184621,엑시트,2019-07-31,20190914,332283050,2.4,-10654630,-3.1,78758820502,37419,-416,-1.1,9366418,404,703
6,6,0,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190914,178499040,1.3,30853880,20.9,4690140517,20334,4084,25.1,542209,270,375
7,7,1,OLD,20194045,극장판 반지의 비밀일기,2019-09-11,20190914,117977800,0.9,52896500,81.3,332876430,14527,6745,86.7,40766,423,552
8,8,-1,OLD,20181416,유열의 음악앨범,2019-08-28,20190914,102595550,0.8,13335810,14.9,9999302720,11548,1760,18,1217610,231,354
9,9,0,NEW,20193807,예스터데이,2019-09-18,20190914,69939270,0.5,69939270,100,94558270,7411,7411,100,10033,57,91
10,10,0,OLD,20181103,벌새,2019-08-29,20190914,44635130,0.3,10590560,31.1,568395412,5386,1289,31.5,68153,66,131
1,1,0,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190913,5834715482,46.4,1836516462,45.9,12014638952,640253,197688,44.7,1352377,1331,6595
2,2,0,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190913,3407102742,27.1,156368502,4.8,9507858072,366754,12876,3.6,1069536,1415,5956
3,3,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190913,2238064688,17.8,864338248,62.9,4283114458,251764,94393,60,493557,947,3973
4,4,1,OLD,20184621,엑시트,2019-07-31,20190913,342937680,2.7,111703390,48.3,78426537452,37835,11998,46.4,9328999,374,635
5,5,-1,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190913,207892000,1.7,-115415200,-35.7,3150300980,25292,-15232,-37.6,408987,591,1099
6,6,0,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190913,147645160,1.2,-4857580,-3.2,4511641477,16250,-826,-4.8,521875,284,398
7,7,0,OLD,20181416,유열의 음악앨범,2019-08-28,20190913,89259740,0.7,-28137650,-24,9896707170,9788,-3238,-24.9,1206062,263,416
8,8,0,OLD,20194045,극장판 반지의 비밀일기,2019-09-11,20190913,65081300,0.5,-28120330,-30.2,214898630,7782,-3678,-32.1,26239,388,506
9,9,2,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,20190913,41969220,0.3,7089320,20.3,32123775753,4680,737,18.7,3643208,80,119
10,10,0,OLD,20181103,벌새,2019-08-29,20190913,34044570,0.3,-3173200,-8.5,523760282,4097,-387,-8.6,62767,58,121
1,1,1,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190912,3998199020,40.7,2027323470,102.9,6179923470,442565,198230,81.1,712124,1221,6188
2,2,-1,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190912,3250734240,33.1,557457450,20.7,6100755330,353878,21586,6.5,702782,1429,6184
3,3,0,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190912,1373726440,14.0,944924110,220.4,2045049770,157371,102051,184.5,241793,894,3847
4,4,3,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190912,323307200,3.3,270281240,509.7,2942408980,40524,33339,464,383695,616,1155
5,5,1,OLD,20184621,엑시트,2019-07-31,20190912,231234290,2.4,155629840,205.8,78083599772,25837,16343,172.1,9291164,350,584
6,6,-2,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190912,152502740,1.6,31944950,26.5,4363996317,17076,1871,12.3,505625,298,434
7,7,-2,OLD,20181416,유열의 음악앨범,2019-08-28,20190912,117397390,1.2,22427020,23.6,9807447430,13026,1248,10.6,1196274,299,507
8,8,2,OLD,20194045,극장판 반지의 비밀일기,2019-09-11,20190912,93201630,0.9,65965430,242.2,149817330,11460,8107,241.8,18457,459,634
9,9,-1,OLD,20194442,플레이모빌: 더 무비,2019-09-11,20190912,53190320,0.5,26000320,95.6,94780320,6692,2813,72.5,12186,295,378
10,10,-1,OLD,20181103,벌새,2019-08-29,20190912,37217770,0.4,6944650,22.9,489715712,4484,763,20.5,58670,64,127
1,1,20,OLD,20184572,타짜: 원 아이드 잭,2019-09-11,20190911,2693276790,47.6,2688362790,54708.2,2850021090,332292,331508,42284.2,348904,1345,5768
2,2,4,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190911,1970875550,34.9,1888391550,2289.4,2181724450,244335,233211,2096.5,269559,1139,5788
3,3,16,OLD,20187322,"힘을 내요, 미스터 리",2019-09-11,20190911,428802330,7.6,421017330,5408.1,671323330,55320,54401,5919.6,84422,911,3900
4,4,-3,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190911,120557790,2.1,-117647690,-49.4,4211493577,15205,-13157,-46.4,488549,310,484
5,5,-3,OLD,20181416,유열의 음악앨범,2019-08-28,20190911,94970370,1.7,-119817270,-55.8,9690050040,11778,-14817,-55.7,1183248,321,658
6,6,-3,OLD,20184621,엑시트,2019-07-31,20190911,75604450,1.3,-81600710,-51.9,77852365482,9494,-10393,-52.3,9265327,317,565
7,7,1,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190911,53025960,0.9,-1831460,-3.3,2619101780,7185,-284,-3.8,343171,413,633
8,8,0,NEW,20194442,플레이모빌: 더 무비,2019-09-11,20190911,27190000,0.5,27190000,100,41590000,3879,3879,100,5494,245,279
9,9,3,OLD,20181103,벌새,2019-08-29,20190911,30273120,0.5,7700220,34.1,452497942,3721,871,30.6,54186,67,148
10,10,17,OLD,20194045,극장판 반지의 비밀일기,2019-09-11,20190911,27236200,0.5,24786700,1011.9,56615700,3353,2979,796.5,6997,277,340
1,1,0,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190910,238205480,18.8,-11398090,-4.6,4090935787,28362,-1742,-5.8,473344,919,2774
2,2,0,OLD,20181416,유열의 음악앨범,2019-08-28,20190910,214787640,17.0,-5533950,-2.5,9595079670,26595,-867,-3.2,1171470,860,3169
3,3,0,OLD,20184621,엑시트,2019-07-31,20190910,157205160,12.4,-6406830,-3.9,77776761032,19887,-738,-3.6,9255833,679,2332
4,4,0,OLD,20184543,변신,2019-08-21,20190910,110816870,8.8,-10759250,-8.8,15277782385,13765,-1136,-7.6,1786345,660,2050
5,5,0,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,20190910,97210020,7.7,-3049820,-3,32026298903,11992,-531,-4.2,3632016,561,1419
6,6,2,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190910,82484000,6.5,33471600,68.3,210848900,11124,6273,129.3,25224,55,58
7,7,0,OLD,20193665,47미터 2,2019-08-28,20190910,61695650,4.9,-1366170,-2.2,3723234773,7561,-219,-2.8,455697,475,992
8,8,-2,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190910,54857420,4.3,-12069900,-18,2566075820,7469,-1631,-17.9,335986,535,1063
9,9,0,NEW,20194456,양자물리학,2019-09-25,20190910,35682000,2.8,35682000,100,37180000,4298,4298,100,4512,20,20
10,10,-1,OLD,20184462,봉오동 전투,2019-08-07,20190910,26938820,2.1,-928140,-3.3,40500905358,3659,-139,-3.7,4774549,334,508
1,1,1,OLD,20192804,그것: 두 번째 이야기,2019-09-04,20190909,249603570,20.2,-828842040,-76.9,3852730307,30104,-93432,-75.6,444982,929,2848
2,2,1,OLD,20181416,유열의 음악앨범,2019-08-28,20190909,220321590,17.8,-562924780,-71.9,9380292030,27462,-62737,-69.6,1144875,852,3212
3,3,1,OLD,20184621,엑시트,2019-07-31,20190909,163611990,13.2,-511369340,-75.8,77619555872,20625,-58062,-73.8,9235946,680,2371
4,4,1,OLD,20184543,변신,2019-08-21,20190909,121576120,9.8,-359764440,-74.7,15166965515,14901,-40017,-72.9,1772580,635,2038
5,5,1,OLD,20196850,분노의 질주: 홉스&쇼,2019-08-14,20190909,100259840,8.1,-275567600,-73.3,31929088883,12523,-30745,-71.1,3620024,554,1437
6,6,-5,OLD,20193821,극장판 헬로카봇 : 달나라를 구해줘!,2019-09-04,20190909,66927320,5.4,-1027431580,-93.9,2511218400,9100,-132908,-93.6,328517,560,1159
7,7,0,OLD,20193665,47미터 2,2019-08-28,20190909,63061820,5.1,-166951460,-72.6,3661539123,7780,-18795,-70.7,448136,467,989
8,8,34,OLD,20188750,나쁜 녀석들: 더 무비,2019-09-11,20190909,49012400,4.0,47180400,2575.3,128364900,4851,4622,2018.3,14100,31,31
9,9,0,OLD,20184462,봉오동 전투,2019-08-07,20190909,27866960,2.2,-57234570,-67.3,40473966538,3798,-6371,-62.7,4770890,335,515
10,10,-2,OLD,20194541,안녕 베일리,2019-09-05,20190909,27365500,2.2,-109309500,-80,374616100,3516,-11885,-77.2,43333,166,471
